profile,n_responses,mean_observed_stability_pct,factuality_openai_pct,factuality_mistral_pct,interjudge_agreement_pct,cohen_kappa,openai_scored_n,mistral_scored_n,interjudge_pairs_n
PROFILE-161CC5,790,91.38,78.99,76.21,86.83,0.6224,790,782,782
PROFILE-212079,790,90.33,66.84,68.93,84.78,0.6514,790,782,782
PROFILE-486F91,790,88.89,54.94,60.49,82.1,0.6345,790,782,782
PROFILE-48C581,790,88.89,51.14,62.53,82.74,0.6532,790,782,782
PROFILE-59664C,790,91.4,83.92,82.48,88.62,0.5933,790,782,782
PROFILE-5A5C60,790,90.55,76.58,72.76,86.96,0.6558,790,782,782
PROFILE-5B3BB7,790,89.97,63.92,63.68,82.86,0.6295,790,782,782
PROFILE-638E26,790,90.45,68.35,72.12,84.27,0.6252,790,782,782
PROFILE-739F7C,790,89.21,53.92,57.67,84.27,0.6818,790,782,782
PROFILE-B912EA,790,90.97,81.01,80.82,92.07,0.743,790,782,782
PROFILE-DEA9C5,790,90.06,73.54,67.01,86.7,0.6836,790,782,782
PROFILE-F5FF91,790,90.59,71.14,69.31,84.4,0.6272,790,782,782
