profile_id,n_responses,wave_count,source_item_missing_n,stability_mean,stability_median,stability_std,stability_scored_n,coherence_mean,coherence_median,coherence_std,coherence_scored_n,semantic_instability_mean,semantic_instability_median,semantic_instability_std,semantic_instability_scored_n,delta_g_mean,delta_g_median,delta_g_std,delta_g_scored_n,factual_signal_mean,factual_signal_median,factual_signal_std,factual_signal_scored_n,latency_ms_mean,latency_ms_median,latency_ms_std,latency_ms_scored_n,cost_mean,cost_median,cost_std,cost_scored_n,information_density_mean,information_density_median,information_density_std,information_density_scored_n,energy_mean,energy_median,energy_std,energy_scored_n,dominant_regime,distinct_regimes_n
PROFILE-161CC5,450,3,0,0.903248,0.923077,0.070897,450,1.0,1.0,0.0,450,0.004,0.0,0.059867,450,-0.002844,0.0,0.058095,450,0.064444,0.0,0.230416,450,27763.091111,26966.5,4793.570483,450,1.0,1.0,0.0,450,0.666082,0.6737,0.05799,450,0.999081,0.999184,0.00048,450,ALLOW,2
PROFILE-212079,450,3,0,0.899077,0.923077,0.075859,450,1.0,1.0,0.0,450,0.012222,0.0,0.105228,450,-0.002,0.0,0.06683,450,0.078,0.0,0.246541,450,26442.448889,24667.5,8538.037233,450,1.0,1.0,0.0,450,0.611627,0.614,0.085999,450,0.9986,0.998966,0.001148,450,ALLOW,2
PROFILE-486F91,450,3,0,0.882188,0.923077,0.095526,450,1.0,1.0,0.0,450,0.003778,0.0,0.056639,450,-0.014667,0.0,0.073575,450,0.132889,0.0,0.310459,450,28135.537778,25161.0,9532.288556,450,1.0,1.0,0.0,450,0.568432,0.5653,0.100585,450,0.998821,0.999116,0.000841,450,ALLOW,2
PROFILE-48C581,450,3,0,0.883282,0.923077,0.095415,450,1.0,1.0,0.0,450,0.004,0.0,0.059867,450,-0.014878,0.0,0.07295,449,0.129333,0.0,0.3101,450,21397.726667,21175.5,1056.472816,450,1.0,1.0,0.0,450,0.674472,0.6977,0.085097,450,0.997142,0.997321,0.001186,450,ALLOW,2
PROFILE-59664C,450,3,0,0.90318,0.923077,0.068631,450,1.0,1.0,0.0,450,0.004222,0.0,0.060037,450,-0.002533,0.0,0.059909,450,0.064667,0.0,0.223051,450,26315.682222,26299.0,2138.035674,450,1.0,1.0,0.0,450,0.688497,0.69245,0.043721,450,0.998486,0.99869,0.000676,450,ALLOW,2
PROFILE-5A5C60,450,3,0,0.901402,0.923077,0.072722,450,1.0,1.0,0.0,450,0.002,0.0,0.042379,450,-0.005556,0.0,0.060768,450,0.070444,0.0,0.236347,450,26727.22,26791.0,3055.222596,450,1.0,1.0,0.0,450,0.608147,0.60305,0.086295,450,0.996719,0.999223,0.012852,450,ALLOW,2
PROFILE-5B3BB7,450,3,0,0.899009,0.923077,0.075462,450,1.0,1.0,0.0,450,0.002,0.0,0.042379,450,-0.001333,0.0,0.06656,450,0.078222,0.0,0.245251,450,28181.068889,26702.5,5847.245355,450,1.0,1.0,0.0,450,0.62659,0.62585,0.081528,450,0.998945,0.999256,0.000883,450,ALLOW,2
PROFILE-638E26,450,3,0,0.901197,0.923077,0.071124,450,1.0,1.0,0.0,450,0.002,0.0,0.042379,450,-0.002133,0.0,0.062332,450,0.071111,0.0,0.231154,450,25190.375556,24003.5,4759.490138,450,1.0,1.0,0.0,450,0.643154,0.64685,0.076794,450,0.998521,0.998899,0.001169,450,ALLOW,2
PROFILE-739F7C,450,3,0,0.884786,0.923077,0.091381,450,1.0,1.0,0.0,450,0.004,0.0,0.059867,450,-0.014756,0.0,0.072044,450,0.124444,0.0,0.296989,450,21478.306667,21017.0,1461.701138,450,1.0,1.0,0.0,450,0.63398,0.63905,0.084441,450,0.998623,0.998889,0.001044,450,ALLOW,2
PROFILE-B912EA,450,3,0,0.899214,0.923077,0.077439,450,1.0,1.0,0.0,450,0.002,0.0,0.042379,450,-0.001559,0.0,0.070671,449,0.077556,0.0,0.251676,450,26940.911111,26641.5,3523.945632,450,1.0,1.0,0.0,450,0.695063,0.70955,0.07341,450,0.999592,0.999628,0.000144,450,ALLOW,2
PROFILE-DEA9C5,450,3,0,0.896429,0.9231,0.077308,450,,,,0,0.006444,0.0,0.069782,450,0.026671,0.0,0.077308,450,0.086667,0.0,0.251219,450,45680.597251,44049.954,9546.652616,450,,,,0,,,,0,,,,0,ALLOW,2
PROFILE-F5FF91,450,3,0,0.898462,0.923077,0.075145,450,1.0,1.0,0.0,450,0.003778,0.0,0.056639,450,-0.001644,0.0,0.067659,450,0.08,0.0,0.244222,450,23577.393333,22689.5,2814.625552,450,1.0,1.0,0.0,450,0.626379,0.6292,0.088453,450,0.998427,0.998661,0.00108,450,ALLOW,2
