profile,n_responses,mean_observed_stability_pct,factuality_openai_pct,factuality_mistral_pct,interjudge_agreement_pct,cohen_kappa,openai_scored_n,mistral_scored_n,interjudge_pairs_n
PROFILE-161CC5,790,91.55,79.24,76.47,88.11,0.6559,790,782,782
PROFILE-212079,790,91.16,67.49,70.57,83.97,0.6258,769,761,761
PROFILE-486F91,790,89.99,55.7,59.85,83.12,0.6549,790,782,782
PROFILE-48C581,790,89.76,51.27,59.08,81.46,0.6278,790,782,782
PROFILE-59664C,790,91.45,83.78,83.38,88.86,0.5948,789,782,781
PROFILE-5A5C60,790,91.42,75.95,72.51,86.19,0.6401,790,782,782
PROFILE-5B3BB7,790,91.22,63.8,63.81,84.4,0.6627,790,782,782
PROFILE-638E26,790,91.02,67.34,71.74,85.81,0.666,790,782,782
PROFILE-739F7C,790,90.57,53.92,57.93,82.1,0.6375,790,782,782
PROFILE-B912EA,790,91.78,81.14,80.82,91.43,0.7215,790,782,782
PROFILE-DEA9C5,790,87.92,62.4,66.47,83.73,0.6464,508,504,504
PROFILE-F5FF91,790,91.44,70.38,70.46,85.68,0.6568,790,782,782
