profile_id,n_responses,wave_count,stability_mean,stability_median,stability_std,stability_scored_n,coherence_mean,coherence_median,coherence_std,coherence_scored_n,semantic_instability_mean,semantic_instability_median,semantic_instability_std,semantic_instability_scored_n,delta_g_mean,delta_g_median,delta_g_std,delta_g_scored_n,factual_signal_mean,factual_signal_median,factual_signal_std,factual_signal_scored_n,latency_ms_mean,latency_ms_median,latency_ms_std,latency_ms_scored_n,cost_mean,cost_median,cost_std,cost_scored_n,information_density_mean,information_density_median,information_density_std,information_density_scored_n,energy_mean,energy_median,energy_std,energy_scored_n,dominant_regime,distinct_regimes_n
PROFILE-23E9A8,450,3,0.906393,0.923077,0.058698,450,1.0,1.0,0.0,450,0.001556,0.0,0.032962,450,0.0012,0.0,0.053378,450,0.054222,0.0,0.19077,450,24087.96,22576.5,3909.395927,450,1.0,1.0,0.0,450,0.663975,0.6842,0.084491,450,0.997799,0.997945,0.001453,450,ALLOW,2
PROFILE-269E9A,450,3,0.91159,0.923077,0.049087,450,1.0,1.0,0.0,450,0.001556,0.0,0.032962,450,0.001156,0.0,0.045063,450,0.037333,0.0,0.159533,450,26923.391111,26889.0,3369.053594,450,1.0,1.0,0.0,450,0.613052,0.61075,0.085255,450,0.997907,0.999177,0.007604,450,ALLOW,2
PROFILE-7B6838,450,3,0.912205,0.923077,0.04449,450,1.0,1.0,0.0,450,0.001556,0.0,0.032962,450,0.003786,0.0,0.04436,449,0.035333,0.0,0.144593,450,26286.897778,25133.5,4617.016353,450,1.0,1.0,0.0,450,0.620852,0.61645,0.06713,450,0.9986,0.998901,0.000915,450,ALLOW,2
PROFILE-908050,450,3,0.884258,0.9231,0.077427,450,,,,0,0.0,0.0,0.0,450,0.038842,0.0,0.077427,450,0.126222,0.0,0.25162,450,47022.964258,46002.326,2659.85413,450,,,,0,,,,0,,,,0,ALLOW,2
PROFILE-A07EDE,450,3,0.912821,0.923077,0.046551,450,1.0,1.0,0.0,450,0.0,0.0,0.0,450,0.001556,0.0,0.040904,450,0.033333,0.0,0.151291,450,29398.604444,27211.0,7132.516151,450,1.0,1.0,0.0,450,0.629771,0.63195,0.079691,450,0.998894,0.999182,0.000946,450,ALLOW,2
PROFILE-A9D1CD,450,3,0.912684,0.923077,0.044297,450,1.0,1.0,0.0,450,0.0,0.0,0.0,450,0.001782,0.0,0.045467,449,0.033778,0.0,0.143964,450,26441.115556,26487.5,2057.920101,450,1.0,1.0,0.0,450,0.68959,0.6918,0.044447,450,0.998463,0.998684,0.00067,450,ALLOW,2
PROFILE-C73442,450,3,0.903385,0.923077,0.061259,450,1.0,1.0,0.0,450,0.001556,0.0,0.032962,450,-8.9e-05,0.0,0.058332,450,0.064,0.0,0.199091,450,33587.973333,28877.0,14590.879661,450,1.0,1.0,0.0,450,0.639698,0.64965,0.087523,450,0.998543,0.998814,0.001144,450,ALLOW,2
PROFILE-CBA087,450,3,0.897573,0.923077,0.067409,450,1.0,1.0,0.0,450,0.0,0.0,0.0,450,-0.007556,0.0,0.056488,450,0.082889,0.0,0.21908,450,28215.542222,26443.5,9564.116793,450,1.0,1.0,0.0,450,0.61358,0.6105,0.088925,450,0.998337,0.998684,0.001059,450,ALLOW,2
PROFILE-CBE519,450,3,0.912112,0.923077,0.051441,449,1.0,1.0,0.0,449,0.001559,0.0,0.032998,449,0.001203,0.0,0.046464,449,0.035635,0.0,0.167184,449,27111.200445,26555.0,3939.449888,449,1.0,1.0,0.0,449,0.698508,0.7081,0.071207,449,0.999515,0.999566,0.000182,449,ALLOW,3
PROFILE-DD465E,450,3,0.909333,0.923077,0.054062,450,1.0,1.0,0.0,450,0.003111,0.0,0.046563,450,0.000579,0.0,0.048465,449,0.044667,0.0,0.175703,450,22871.033333,22212.5,2037.787416,450,1.0,1.0,0.0,450,0.634495,0.6459,0.085396,450,0.998377,0.998547,0.001096,450,ALLOW,2
PROFILE-DFA09E,450,3,0.910564,0.923077,0.051335,450,1.0,1.0,0.0,450,0.003111,0.0,0.046563,450,0.001511,0.0,0.048198,450,0.040667,0.0,0.166839,450,27683.111111,27018.0,4671.357474,450,1.0,1.0,0.0,450,0.672088,0.67815,0.058016,450,0.999033,0.99916,0.000543,450,ALLOW,2
PROFILE-EAC49B,450,3,0.900034,0.923077,0.064258,450,1.0,1.0,0.0,450,0.0,0.0,0.0,450,-0.005467,0.0,0.050043,450,0.074889,0.0,0.208839,450,26222.98,24667.0,6667.406355,450,1.0,1.0,0.0,450,0.574909,0.569,0.095219,450,0.998781,0.999105,0.000861,450,ALLOW,2
