profile_id,observation_count_bucket,judge_observed_agreement_rate,judge_disagreement_rate,cohen_kappa,judge_a_positive_rate,judge_b_positive_rate,judge_b_minus_judge_a_positive_rate
PROFILE-161CC5,750-779,0.837,0.163,0.657,0.567,0.69,0.123
PROFILE-212079,780-799,0.806,0.194,0.619,0.446,0.59,0.143
PROFILE-486F91,650-699,0.773,0.227,0.56,0.372,0.559,0.187
PROFILE-48C581,700-749,0.802,0.198,0.613,0.398,0.559,0.161
PROFILE-59664C,780-799,0.815,0.185,0.588,0.609,0.73,0.121
PROFILE-5A5C60,780-799,0.776,0.224,0.523,0.235,0.441,0.206
PROFILE-5B3BB7,780-799,0.79,0.21,0.589,0.371,0.54,0.169
PROFILE-638E26,780-799,0.832,0.168,0.662,0.518,0.624,0.106
PROFILE-739F7C,780-799,0.812,0.188,0.624,0.35,0.5,0.15
PROFILE-B912EA,780-799,0.857,0.143,0.667,0.641,0.748,0.107
PROFILE-DEA9C5,650-699,0.873,0.127,0.728,0.591,0.674,0.083
PROFILE-F5FF91,780-799,0.799,0.201,0.606,0.458,0.61,0.152
